replan_index,wall_time,waypoint_index,x,y
3,57.465957562002586,39,0.5849523844539917,0.07586268864476206
3,57.465957562002586,40,0.5860558276246404,0.06101568351754841
3,57.465957562002586,41,0.5871592707952891,0.046168678390334644
3,57.465957562002586,42,0.5912615726663919,0.03346858814619347
3,57.465957562002586,43,0.6049862280823248,0.027699940784347832
3,57.465957562002586,44,0.6188049260975513,0.022161293435193116
3,57.465957562002586,45,0.6327536135683679,0.016959836871915566
3,57.465957562002586,46,0.646862223209512,0.01220984736483349
3,57.465957562002586,47,0.6611637972878566,0.008079271555293735
3,57.465957562002586,48,0.6756635347597969,0.004715275813701714
3,57.465957562002586,49,0.6903307163893201,0.0021892896730973405
3,57.465957562002586,50,0.7051277687967715,0.0005956337557198538
3,57.465957562002586,51,0.72,0.0
